"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","symbol","cluster.name"
"1",3.51585952575622e-202,2.13876153186961,0.96,0.063,6.32081225540453e-198,"0","ENSG00000163563.8","MNDA","CD14+ Monocytes"
"2",2.13521059822298e-201,2.41058335469878,1,0.111,3.83868161348527e-197,"0","ENSG00000101439.9","CST3","CD14+ Monocytes"
"3",4.04349764536512e-194,2.335781148594,0.969,0.104,7.26940006683742e-190,"0","ENSG00000085265.11","FCN1","CD14+ Monocytes"
"4",2.64525261724623e-186,2.13570676187465,0.994,0.205,4.75563515528528e-182,"0","ENSG00000204472.13","AIF1","CD14+ Monocytes"
"5",1.17245331256406e-185,2.26548707972843,0.907,0.056,2.10783656532766e-181,"0","ENSG00000038427.16","VCAN","CD14+ Monocytes"
"6",8.05873339925261e-175,4.07820486419149,0.992,0.296,1.44879909051763e-170,"0","ENSG00000090382.7","LYZ","CD14+ Monocytes"
"7",1.42640898770195e-173,2.63665251524731,0.87,0.06,2.56439807809057e-169,"0","ENSG00000163221.9","S100A12","CD14+ Monocytes"
"8",1.82942581002168e-173,4.443077012766,0.98,0.27,3.28894172125697e-169,"0","ENSG00000163220.11","S100A9","CD14+ Monocytes"
"9",3.10748213017467e-170,4.28546579114593,0.952,0.205,5.58663137362802e-166,"0","ENSG00000143546.10","S100A8","CD14+ Monocytes"
"10",2.51232348578171e-162,2.40913099677224,0.994,0.534,4.51665516273835e-158,"0","ENSG00000163131.11","CTSS","CD14+ Monocytes"
"11",1.36112645913465e-139,1.20429766130149,0.997,0.609,2.44703314823226e-135,"1","ENSG00000111716.14","LDHB","CD4 T"
"12",6.95321075979131e-116,0.971572253177621,0.88,0.186,1.25004823039528e-111,"1","ENSG00000081059.20","TCF7","CD4 T"
"13",5.86909662195109e-114,0.958083434144461,0.969,0.209,1.05514619069437e-109,"1","ENSG00000167286.9","CD3D","CD4 T"
"14",3.80704911921071e-111,1.04803853852867,0.98,0.287,6.84431290651701e-107,"1","ENSG00000277734.8",NA,"CD4 T"
"15",3.37125732340876e-108,0.907294025872631,0.854,0.166,6.06084641602427e-104,"1","ENSG00000127152.18","BCL11B","CD4 T"
"16",4.26109180846924e-104,1.12797278922132,0.914,0.205,7.66059085326599e-100,"1","ENSG00000168685.15","IL7R","CD4 T"
"17",3.6112706682329e-95,0.846739435131871,0.946,0.255,6.4923424073491e-91,"1","ENSG00000198851.10","CD3E","CD4 T"
"18",8.52822175778018e-87,0.95972908097164,0.863,0.345,1.53320370761372e-82,"1","ENSG00000142546.14","NOSIP","CD4 T"
"19",1.21267472406185e-64,0.829190490257032,0.977,0.534,2.18014661891839e-60,"1","ENSG00000227507.2","LTB","CD4 T"
"20",4.63823830800437e-63,0.982028864316107,0.631,0.14,8.33862483013025e-59,"1","ENSG00000211751.9",NA,"CD4 T"
"21",4.01480188963586e-218,2.42914339033889,0.953,0.012,7.21781083718735e-214,"2","ENSG00000105369.10","CD79A","B"
"22",1.44579502251162e-210,1.97793241274917,0.953,0.018,2.59925029147139e-206,"2","ENSG00000156738.17","MS4A1","B"
"23",7.20036017448264e-198,3.14939943101975,0.896,0.016,1.29448075216849e-193,"2","ENSG00000211899.10",NA,"B"
"24",1.41469503756044e-172,1.81982234864644,0.766,0.005,2.54333873852617e-168,"2","ENSG00000211898.7",NA,"B"
